document,quotation,Group,Codes,Themes
634,The pattern matching process takes as input a pattern (following case) and a subject value (following match). Phrases to describe the process include “the pattern is matched with (or against) the subject value” and “we match the pattern against (or with) the subject value”.,Pattern Matching Process,Pattern Matching Process,Informal Semantics of Structural Pattern Matching
634,"The primary outcome of pattern matching is success or failure. In case of success we may say “the pattern succeeds”, “the match succeeds”, or “the pattern matches the subject value”.",Outcome,Success or Failure,Informal Semantics of Structural Pattern Matching
634,"In many cases a pattern contains subpatterns, and success or failure is determined by the success or failure of matching those subpatterns against the value (e.g., for OR patterns) or against parts of the value (e.g., for sequence patterns). This process typically processes the subpatterns from left to right until the overall outcome is determined. E.g., an OR pattern succeeds at the first succeeding subpattern, while a sequence patterns fails at the first failing subpattern.",Subpattern Evaluation,Left-to-right Matching,Informal Semantics of Structural Pattern Matching
634,"A secondary outcome of pattern matching may be one or more name bindings. We may say “the pattern binds a value to a name”. When subpatterns tried until the first success, only the bindings due to the successful subpattern are valid; when trying until the first failure, the bindings are merged. Several more rules, explained below, apply to these cases.",Outcome,Name Binding,Informal Semantics of Structural Pattern Matching
634,"match_stmt: ""match"" subject_expr ':' NEWLINE INDENT case_block+ DEDENT subject_expr:     | star_named_expression ',' star_named_expressions?     | named_expression case_block: ""case"" patterns [guard] ':' block guard: 'if' named_expression ",Match/Case Syntax,Syntax of structural pattern matching,Match Statement Grammar
634,Structural Pattern Matching is a new compound statement,Match/Case Syntax,Structural Pattern Matching is a new compound statement,Syntax of Structural Pattern Matching
634,"The match and case keywords are soft keywords, i.e. they are not reserved words in other grammatical contexts (including at the start of a line if there is no colon where expected). This implies that they are recognized as keywords when part of a match statement or case block only, and are allowed to be used in all other contexts as variable or argument names.",Keyword Handling,Design decision,Soft Keywords
634,The match statement first evaluates the subject expression. If a comma is present a tuple is constructed using the standard rules.,Match Statement Execution,Subject Expression Evaluation,Informal Semantics of Structural Pattern Matching
634,"During failed pattern matches, some subpatterns may succeed. For example, while matching the pattern (0, x, 1) with the value [0, 1, 2], the subpattern x may succeed if the list elements are matched from left to right. The implementation may choose to either make persistent bindings for those partial matches or not. User code including a match statement should not rely on the bindings being made for a failed match, but also shouldn’t assume that variables are unchanged by a failed match. This part of the behavior is left intentionally unspecified so different implementations can add optimizations, and to prevent introducing semantic restrictions that could limit the extensibility of this feature.",Outcome,Partial Bindings in Failed Matches,Informal Semantics of Structural Pattern Matching
634,,Outcome,Partial Bindings in Failed Matches,Informal Semantics of Structural Pattern Matching
634,,Implementation Flexibility,Unspecified Behavior for Failed Matches,Missing or Deferred Specification
634,,Developer Guidance,Avoid Reliance on Failed Match Bindings,Practice
634,"User code including a match statement should not rely on the bindings being made for a failed match, but also shouldn’t assume that variables are unchanged by a failed match",Developer Guidance,Recommendation for Python Developers,Practice
634,"This part of the behavior is left intentionally unspecified so different implementations can add optimizations, and to prevent introducing semantic restrictions that could limit the extensibility of this feature.",Implementation Flexibility,Missing or Deferred Specification,Missing or Deferred Specification
634,"If a guard is present on a case block, once the pattern or patterns in the case block succeed, the expression in the guard is evaluated. If this raises an exception, the exception bubbles up. Otherwise, if the condition is “truthy” the case block is selected; if it is “falsy” the case block is not selected.",Match Statement Execution,Guard Evaluation,Informal Semantics of Structural Pattern Matching
634,Since guards are expressions they are allowed to have side effects,Guard Behavior,case expressions might have side effects,Design Decision
634,"A pattern is considered irrefutable if we can prove from its syntax alone that it will always succeed. In particular, capture patterns and wildcard patterns are irrefutable, and so are AS patterns whose left-hand side is irrefutable, OR patterns containing at least one irrefutable pattern, and parenthesized irrefutable patterns.

A case block is considered irrefutable if it has no guard and its pattern is irrefutable.

A match statement may have at most one irrefutable case block, and it must be last.",Pattern Classification,Irrefutable Patterns,Informal Semantics of Structural Pattern Matching
634,"The top-level syntax for patterns is as follows:

patterns: open_sequence_pattern | pattern pattern: as_pattern | or_pattern as_pattern: or_pattern 'as' capture_pattern or_pattern: '|'.closed_pattern+ closed_pattern:     | literal_pattern     | capture_pattern     | wildcard_pattern     | value_pattern     | group_pattern     | sequence_pattern     | mapping_pattern     | class_pattern ",Pattern Grammar,Pattern Syntax Definition,Syntax of Structural Pattern Matching
634,"Syntax:

as_pattern: or_pattern 'as' capture_pattern 

(Note: the name on the right may not be _.)",Pattern Grammar,AS Pattern Syntax,Syntax of Structural Pattern Matching
634,"An AS pattern matches the OR pattern on the left of the as keyword against the subject. If this fails, the AS pattern fails. Otherwise, the AS pattern binds the subject to the name on the right of the as keyword and succeeds.",Outcome,AS Pattern Success and Name Binding,Informal Semantics of Structural Pattern Matching
634,This proposal intentionally leaves out any specification of what methods are called or how many times. This behavior is therefore undefined and user code should not rely on it.,Implementation Flexibility,Undefined Method Calls Behavior,Missing or Deferred Specification
634,This proposal intentionally leaves out any specification of what methods are called or how many times. This behavior is therefore undefined and user code should not rely on it.,Developer Guidance,Recommendation for Python Developers,Practice
634,"The only side-effect produced explicitly by the matching process is the binding of names. However, the process relies on attribute access, instance checks, len(), equality and item access on the subject and some of its components. It also evaluates value patterns and the class name of class patterns.",Matching Process Behavior,Explicit Side Effects through Name Binding,Structural Pattern Matching and Side Effects
634,"The only side-effect produced explicitly by the matching process is the binding of names. However, the process relies on attribute access, instance checks, len(), equality and item access on the subject and some of its components. It also evaluates value patterns and the class name of class patterns.",Implementation Behavior,Implicit Operations During Matching,Structural Pattern Matching and Side Effects
634,"Another undefined behavior is the binding of variables by capture patterns that are followed (in the same case block) by another pattern that fails. These may happen earlier or later depending on the implementation strategy, the only constraint being that capture variables must be set before guards that use them explicitly are evaluated. If a guard consists of an and clause, evaluation of the operands may even be interspersed with pattern matching, as long as left-to-right evaluation order is maintained.",Implementation Behavior,Undefined Binding Behavior in Failed Matches,Missing or Deferred Specification
634,"Another undefined behavior is the binding of variables by capture patterns that are followed (in the same case block) by another pattern that fails. These may happen earlier or later depending on the implementation strategy, the only constraint being that capture variables must be set before guards that use them explicitly are evaluated. If a guard consists of an and clause, evaluation of the operands may even be interspersed with pattern matching, as long as left-to-right evaluation order is maintained.",Developer Guidance,Recommendation for Python Developers,Practice
635,Code like this is more elegantly rendered using match:,Motivation,Improve Code Elegance,Benefits
635,"AST traversal code often looks for nodes matching a given pattern, for example the code to detect a node of the shape “A + B * C” might look like this:

if (isinstance(node, BinOp) and node.op == ""+""         and isinstance(node.right, BinOp) and node.right.op == ""*""):     a, b, c = node.left, node.right.left, node.right.right     # Handle a + b*c 

Using match this becomes more readable:",Motivation,Improve code readability,Benefits
635,"We believe that adding pattern matching to Python will enable Python users to write cleaner, more readable code for examples like those above, and many others.",Motivation,Improve Code Elegance,Benefits
635,"We believe that adding pattern matching to Python will enable Python users to write cleaner, more readable code for examples like those above, and many others.",Motivation,Improve code readability,Benefits
635,"Pattern matching is complimentary to the object-oriented paradigm. Using OO and inheritance we can easily define a method on a base class that defines default behavior for a specific operation on that class, and we can override this default behavior in subclasses. We can also use the Visitor pattern to separate actions from data.",Motivation,Complementary to Object-Oriented Programming,Benefits
635,"But this is not sufficient for all situations. For example, a code generator may consume an AST, and have many operations where the generated code needs to vary based not just on the class of a node, but also on the value of some class attributes, like the BinOp example above. The Visitor pattern is insufficiently flexible for this: it can only select based on the class.",Alternative Approaches,Visitor Pattern Insufficient Flexibility,Limitations
635,allows for a strict separation of concerns: specific actions or data processing is independent of the class hierarchy or manipulated objects,Motivation,Improve separation of concerns,Benefits
635,Pattern matching not only relieves the programmer or class designer from the burden of the boilerplate code needed for the Visitor pattern,Motivation,Reduce Boilerplate Code,Benefits
635,but is also flexible enough to directly work with built-in types.,Motivation,Support for Built-in Types,Benefits
635,"naturally distinguishes between sequences of different lengths, which might all share the same class despite obviously differing structures",Motivation,Structural Matching Beyond Class-Based Dispatch,Benefits
635,"Moreover, pattern matching automatically takes inheritance into account: a class D inheriting from C will be handled by a pattern that targets C by default.",Motivation,Support for Inheritance,Benefits
635,"Object oriented programming is geared towards single-dispatch: it is a single instance (or the type thereof) that determines which method is to be called. This leads to a somewhat artificial situation in case of binary operators where both objects might play an equal role in deciding which implementation to use (Python addresses this through the use of reversed binary methods). Pattern matching is structurally better suited to handle such situations of multi-dispatch, where the action to be taken depends on the types of several objects to equal parts.",Alternative Approaches,Multi-dispatch Compared to Single-dispatch,Limitations
635,"Pattern matching is particularly suitable for picking apart such data structures. As an extreme example, it’s easy to write code that picks a JSON data structure using match:",Motivation,Support for Complex Data Structures,Benefits
635,"Many Python applications and libraries are not written in a consistent OO style – unlike Java, Python encourages defining functions at the top-level of a module, and for simple data structures, tuples (or named tuples or lists) and dictionaries are often used exclusively or mixed with classes or data classes.",Motivation,Support for Multiple Programming Styles and Data Representations,Benefits
635,Functional programming generally prefers a declarative style with a focus on relationships in data. Side effects are avoided whenever possible. Pattern matching thus naturally fits and highly supports functional programming style.,Motivation,Support Functional Programming Style,Benefits
635,"Much of the power of pattern matching comes from the nesting of subpatterns. That the success of a pattern match depends directly on the success of subpattern is thus a cornerstone of the design. However, although a pattern like P(Q(), R()) succeeds only if both subpatterns Q() and R() succeed (i.e. the success of pattern P depends on Q and R), the pattern P is checked first. If P fails, neither Q() nor R() will be tried (this is a direct consequence of the fact that if P fails, there are no subjects to match against Q() and R() in the first place).",Key Feature,Nested sub-pattern,Informal Semantics of Structural Pattern Matching
635,"Also note that patterns bind names to values rather than performing an assignment. This reflects the fact that patterns aim to not have side effects, which also means that Capture or AS patterns cannot assign a value to an attribute or subscript. We thus consistently use the term ‘bind’ instead of ‘assign’ to emphasise this subtle difference between traditional assignments and name binding in patterns.",Key Feature,Name Binding,Informal Semantics of Structural Pattern Matching
635,"Various suggestions have sought to eliminate or avoid the naturally arising “double indentation” of a case clause’s code block. Unfortunately, all such proposals of flat indentation schemes come at the expense of violating Python’s established structural paradigm, leading to additional syntactic rules:

Unindented case clauses. 

The idea is to align case clauses with the match, i.e.:

match expression: case pattern_1:     ... case pattern_2:     ... 

This may look awkward to the eye of a Python programmer, because everywhere else a colon is followed by an indent. The match would neither follow the syntactic scheme of simple nor composite statements but rather establish a category of its own.

Putting the expression on a separate line after “match”. 

The idea is to use the expression yielding the subject as a statement to avoid the singularity of match having no actual block despite the colons:

match:     expression case pattern_1:     ... case pattern_2:     ... 

This was ultimately rejected because the first block would be another novelty in Python’s grammar: a block whose only content is a single expression rather than a sequence of statements. Attempts to amend this issue by adding or repurposing yet another keyword along the lines of match: return expression did not yield any satisfactory solution.

Although flat indentation would save some horizontal space, the cost of increased complexity or unusual rules is too high. It would also complicate life for simple-minded code editors. Finally, the horizontal space issue can be alleviated by allowing “half-indent” (i.e. two spaces instead of four) for match statements (though we do not recommend this).",Syntax,Indentation,Design Decision
635,"Various suggestions have sought to eliminate or avoid the naturally arising “double indentation” of a case clause’s code block. Unfortunately, all such proposals of flat indentation schemes come at the expense of violating Python’s established structural paradigm, leading to additional syntactic rules:

Unindented case clauses. 

The idea is to align case clauses with the match, i.e.:

match expression: case pattern_1:     ... case pattern_2:     ... 

This may look awkward to the eye of a Python programmer, because everywhere else a colon is followed by an indent. The match would neither follow the syntactic scheme of simple nor composite statements but rather establish a category of its own.

Putting the expression on a separate line after “match”. 

The idea is to use the expression yielding the subject as a statement to avoid the singularity of match having no actual block despite the colons:

match:     expression case pattern_1:     ... case pattern_2:     ... 

This was ultimately rejected because the first block would be another novelty in Python’s grammar: a block whose only content is a single expression rather than a sequence of statements. Attempts to amend this issue by adding or repurposing yet another keyword along the lines of match: return expression did not yield any satisfactory solution.

Although flat indentation would save some horizontal space, the cost of increased complexity or unusual rules is too high. It would also complicate life for simple-minded code editors. Finally, the horizontal space issue can be alleviated by allowing “half-indent” (i.e. two spaces instead of four) for match statements (though we do not recommend this).",Syntax,Syntax Design Choices,Design Decision
635,This was ultimately rejected because the first block would be another novelty in Python’s grammar: a block whose only content is a single expression rather than a sequence of statements. Attempts to amend this issue by adding or repurposing yet another keyword along the lines of match: return expression did not yield any satisfactory solution.,Syntax,Syntax Design Choices,Design Decision
635,"Although flat indentation would save some horizontal space, the cost of increased complexity or unusual rules is too high. It would also complicate life for simple-minded code editors. Finally, the horizontal space issue can be alleviated by allowing “half-indent” (i.e. two spaces instead of four) for match statements (though we do not recommend this).",Syntax,Syntax Design Choices,Design Decision
635,"In sample programs using match, written as part of the development of this PEP, a noticeable improvement in code brevity is observed, more than making up for the additional indentation level.",Motivation,Improve Code Brevity,Benefits
635,"Some suggestions centered around the idea of making match an expression rather than a statement. However, this would fit poorly with Python’s statement-oriented nature and lead to unusually long and complex expressions and the need to invent new syntactic constructs or break well established syntactic rules. An obvious consequence of match as an expression would be that case clauses could no longer have arbitrary blocks of code attached, but only a single expression. Overall, the strong limitations could in no way offset the slight simplification in some special use cases.",Syntax,Syntax Design Choices,Design Decision
635,"There were options to make match a hard keyword, or choose a different keyword. Although using a hard keyword would simplify life for simple-minded syntax highlighters, we decided not to use hard keyword for several reasons:

Most importantly, the new parser doesn’t require us to do this. Unlike with async that caused hardships with being a soft keyword for few releases, here we can make match a permanent soft keyword.

match is so commonly used in existing code, that it would break almost every existing program and will put a burden to fix code on many people who may not even benefit from the new syntax.

It is hard to find an alternative keyword that would not be commonly used in existing programs as an identifier, and would still clearly reflect the meaning of the statement.",Syntax,Keyword Selection,Design Decision
635,"Use “as” or “|” instead of “case” for case clauses. The pattern matching proposed here is a combination of multi-branch control flow (in line with switch in Algol-derived languages or cond in Lisp) and object-deconstruction as found in functional languages. While the proposed keyword case highlights the multi-branch aspect, alternative keywords such as as would equally be possible, highlighting the deconstruction aspect. as or with, for instance, also have the advantage of already being keywords in Python. However, since case as a keyword can only occur as a leading keyword inside a match statement, it is easy for a parser to distinguish between its use as a keyword or as a variable.

Other variants would use a symbol like | or =>, or go entirely without special marker.

Since Python is a statement-oriented language in the tradition of Algol, and as each composite statement starts with an identifying keyword, case seemed to be most in line with Python’s style and traditions.",Syntax,Keyword Selection,Design Decision
635,"The patterns of different case clauses might overlap in that more than one case clause would match a given subject. The first-to-match rule ensures that the selection of a case clause for a given subject is unambiguous. Furthermore, case clauses can have increasingly general patterns matching wider sets of subjects. The first-to-match rule then ensures that the most precise pattern can be chosen (although it is the programmer’s responsibility to order the case clauses correctly).",Key Feature,First-to-match Rule,Informal Semantics of Structural Pattern Matching
635,"In a statically typed language, the match statement would be compiled to a decision tree to select a matching pattern quickly and very efficiently. This would, however, require that all patterns be purely declarative and static, running against the established dynamic semantics of Python. The proposed semantics thus represent a path incorporating the best of both worlds: patterns are tried in a strictly sequential order so that each case clause constitutes an actual statement. At the same time, we allow the interpreter to cache any information about the subject or change the order in which subpatterns are tried. In other words: if the interpreter has found that the subject is not an instance of a class C, it can directly skip case clauses testing for this again, without having to perform repeated instance-checks. If a guard stipulates that a variable x must be positive, say (i.e. if x > 0), the interpreter might check this directly after binding x and before any further subpatterns are considered.",Patterns,Balancing Declarative Patterns and Python Dynamic Semantics,Design Decision
635,"In many pattern matching implementations, each case clause would establish a separate scope of its own. Variables bound by a pattern would then only be visible inside the corresponding case block. In Python, however, this does not make sense. Establishing separate scopes would essentially mean that each case clause is a separate function without direct access to the variables in the surrounding scope (without having to resort to nonlocal that is). Moreover, a case clause could no longer influence any surrounding control flow through standard statement such as return or break. Hence, such strict scoping would lead to unintuitive and surprising behavior.

A direct consequence of this is that any variable bindings outlive the respective case or match statements. Even patterns that only match a subject partially might bind local variables (this is, in fact, necessary for guards to function properly). However, these semantics for variable binding are in line with existing Python structures such as for loops and with statements.",Syntax,Scope Design,Design Decision
635,"Some constraints cannot be adequately expressed through patterns alone. For instance, a ‘less’ or ‘greater than’ relationship defies the usual ‘equal’ semantics of patterns. Moreover, different subpatterns are independent and cannot refer to each other. The addition of guards addresses these restrictions: a guard is an arbitrary expression attached to a pattern and that must evaluate to a “truthy” value for the pattern to succeed.

For example, case [x, y] if x < y: uses a guard (if x < y) to express a ‘less than’ relationship between two otherwise disjoint capture patterns x and y.

From a conceptual point of view, patterns describe structural constraints on the subject in a declarative style, ideally without any side-effects. Recall, in particular, that patterns are clearly distinct from expressions, following different objectives and semantics. Guards then enhance case blocks in a highly controlled way with arbitrary expressions (that might have side effects). Splitting the overall functionality into a static structural and a dynamically evaluated part not only helps with readability, but can also introduce dramatic potential for compiler optimizations. To keep this clear separation, guards are only supported on the level of case clauses and not for individual patterns.",Key Feature,No Side-effects While Pattern Matching,Informal Semantics of Structural Pattern Matching
635,"Patterns differ from assignment targets (as in iterable unpacking) in two ways: they impose additional constraints on the structure of the subject, and a subject may safely fail to match a specific pattern at any point (in iterable unpacking, this constitutes an error). The latter means that pattern should avoid side effects wherever possible.",Key Feature,No Side-effects While Pattern Matching,Informal Semantics of Structural Pattern Matching
635,"This desire to avoid side effects is one reason why capture patterns don’t allow binding values to attributes or subscripts: if the containing pattern were to fail in a later step, it would be hard to revert such bindings.",Key Feature,No Side-effects While Pattern Matching,Informal Semantics of Structural Pattern Matching
635,"A cornerstone of pattern matching is the possibility of arbitrarily nesting patterns. The nesting allows expressing deep tree structures (for an example of nested class patterns, see the motivation section above) as well as alternatives.",Key Feature,Nested sub-pattern,Informal Semantics of Structural Pattern Matching
635,"In an earlier version, the AS pattern was devised as a ‘Walrus pattern’, written as case [first:=int(), second:=int()]. However, using as offers some advantages over :=:

The walrus operator := is used to capture the result of an expression on the right hand side, whereas as generally indicates some form of ‘processing’ as in import foo as bar or except E as err:. Indeed, the pattern P as x does not assign the pattern P to x, but rather the subject that successfully matches P.

as allows for a more consistent data flow from left to right (the attributes in Class patterns also follow a left-to-right data flow).

The walrus operator looks very similar to the syntax for matching attributes in the Class pattern, potentially leading to some confusion.

Example using the AS pattern:

def simplify_expr(tokens):     match tokens:         case [('('|'[') as l, *expr, (')'|']') as r] if (l+r) in ('()', '[]'):             return simplify_expr(expr)         case [0, ('+'|'-') as op, right]:             return UnaryOp(op, right)         case [(int() | float() as left) | Num(left), '+', (int() | float() as right) | Num(right)]:             return Num(left + right)         case [(int() | float()) as value]:             return Num(value) 
",Syntax,Syntax Design Choices,Design Decision
635,"The OR pattern allows you to combine ‘structurally equivalent’ alternatives into a new pattern, i.e. several patterns can share a common handler. If any of an OR pattern’s subpatterns matches the subject, the entire OR pattern succeeds.

Statically typed languages prohibit the binding of names (capture patterns) inside an OR pattern because of potential conflicts concerning the types of variables. As a dynamically typed language, Python can be less restrictive here and allow capture patterns inside OR patterns. However, each subpattern must bind the same set of variables so as not to leave potentially undefined names. With two alternatives P | Q, this means that if P binds the variables u and v, Q must bind exactly the same variables u and v.",Patterns,OR Pattern Binding Rules,Design Decision
635,"There was some discussion on whether to use the bar symbol | or the or keyword to separate alternatives. The OR pattern does not fully fit the existing semantics and usage of either of these two symbols. However, | is the symbol of choice in all programming languages with support of the OR pattern and is used in that capacity for regular expressions in Python as well. It is also the traditional separator between alternatives in formal grammars (including Python’s). Moreover, | is not only used for bitwise OR, but also for set unions and dict merging (PEP 584).",Syntax,Syntax Design Choices,Design Decision
635,"Other alternatives were considered as well, but none of these would allow OR-patterns to be nested inside other patterns:

Using a comma:

case 401, 403, 404:     print(""Some HTTP error"") 

This looks too much like a tuple – we would have to find a different way to spell tuples, and the construct would have to be parenthesized inside the argument list of a class pattern. In general, commas already have many different meanings in Python, we shouldn’t add more.",Syntax,Syntax Design Choices,Design Decision
635,"Using “case in” followed by a comma-separated list:

case in 401, 403, 404:     print(""Some HTTP error"") 

This would not work for OR patterns nested inside other patterns, like:

case Point(0|1, 0|1):     print(""A corner of the unit square"") ",Syntax,Syntax Design Choices,Design Decision
635,"Since this proposal defines an OR-pattern (|) to match one of several alternates, why not also an AND-pattern (&) or even a NOT-pattern (!)? Especially given that some other languages (F# for example) support AND-patterns.

However, it is not clear how useful this would be. The semantics for matching dictionaries, objects and sequences already incorporates an implicit ‘and’: all attributes and elements mentioned must be present for the match to succeed. Guard conditions can also support many of the use cases that a hypothetical ‘and’ operator would be used for.

A negation of a match pattern using the operator ! as a prefix would match exactly if the pattern itself does not match. For instance, !(3 | 4) would match anything except 3 or 4. However, there is evidence from other languages that this is rarely useful, and primarily used as double negation !! to control variable scopes and prevent variable bindings (which does not apply to Python). Other use cases are better expressed using guards.

In the end, it was decided that this would make the syntax more complex without adding a significant benefit. It can always be added later.

Example using the OR pattern:

def simplify(expr):     match expr:         case ('/', 0, 0):             return expr         case ('*'|'/', 0, _):             return 0         case ('+'|'-', x, 0) | ('+', 0, x) | ('*', 1, x) | ('*'|'/', x, 1):             return x     return expr ",Syntax,Additional Alternatives to Combine Patterns (Rejected),Design Decision
635,"Literal patterns are a convenient way for imposing constraints on the value of a subject, rather than its type or structure. They also allow you to emulate a switch statement using pattern matching.

Generally, the subject is compared to a literal pattern by means of standard equality (x == y in Python syntax). Consequently, the literal patterns 1.0 and 1 match exactly the same set of objects, i.e. case 1.0: and case 1: are fully interchangeable. In principle, True would also match the same set of objects because True == 1 holds. However, we believe that many users would be surprised finding that case True: matched the subject 1.0, resulting in some subtle bugs and convoluted workarounds. We therefore adopted the rule that the three singleton patterns None, False and True match by identity (x is y in Python syntax) rather than equality. Hence, case True: will match only True and nothing else. Note that case 1: would still match True, though, because the literal pattern 1 works by equality and not identity.

Early ideas to induce a hierarchy on numbers so that case 1.0 would match both the integer 1 and the floating point number 1.0, whereas case 1: would only match the integer 1 were eventually dropped in favor of the simpler and more consistent rule based on equality. Moreover, any additional checks whether the subject is an instance of numbers.Integral would come at a high runtime cost to introduce what would essentially be a novel idea in Python. When needed, the explicit syntax case int(1): can be used.

Recall that literal patterns are not expressions, but directly denote a specific value. From a pragmatic point of view, we want to allow using negative and even complex values as literal patterns, but they are not atomic literals (only unsigned real and imaginary numbers are). E.g., -3+4j is syntactically an expression of the form BinOp(UnaryOp('-', 3), '+', 4j). Since expressions are not part of patterns, we had to add explicit syntactic support for such values without having to resort to full expressions.

Interpolated f-strings, on the other hand, are not literal values, despite their appearance and can therefore not be used as literal patterns (string concatenation, however, is supported).

Literal patterns not only occur as patterns in their own right, but also as keys in mapping patterns.

Range matching patterns. This would allow patterns such as 1...6. However, there are a host of ambiguities:

Is the range open, half-open, or closed? (I.e. is 6 included in the above example or not?)

Does the range match a single number, or a range object?

Range matching is often used for character ranges (‘a’…’z’) but that won’t work in Python since there’s no character data type, just strings.

Range matching can be a significant performance optimization if you can pre-build a jump table, but that’s not generally possible in Python due to the fact that names can be dynamically rebound.",Literal Patterns,Identity vs Equality Matching,Design Decision
635,"Generally, the subject is compared to a literal pattern by means of standard equality (x == y in Python syntax). Consequently, the literal patterns 1.0 and 1 match exactly the same set of objects, i.e. case 1.0: and case 1: are fully interchangeable. In principle, True would also match the same set of objects because True == 1 holds. However, we believe that many users would be surprised finding that case True: matched the subject 1.0, resulting in some subtle bugs and convoluted workarounds. We therefore adopted the rule that the three singleton patterns None, False and True match by identity (x is y in Python syntax) rather than equality. Hence, case True: will match only True and nothing else. Note that case 1: would still match True, though, because the literal pattern 1 works by equality and not identity.

Early ideas to induce a hierarchy on numbers so that case 1.0 would match both the integer 1 and the floating point number 1.0, whereas case 1: would only match the integer 1 were eventually dropped in favor of the simpler and more consistent rule based on equality. Moreover, any additional checks whether the subject is an instance of numbers.Integral would come at a high runtime cost to introduce what would essentially be a novel idea in Python. When needed, the explicit syntax case int(1): can be used.

Recall that literal patterns are not expressions, but directly denote a specific value. From a pragmatic point of view, we want to allow using negative and even complex values as literal patterns, but they are not atomic literals (only unsigned real and imaginary numbers are). E.g., -3+4j is syntactically an expression of the form BinOp(UnaryOp('-', 3), '+', 4j). Since expressions are not part of patterns, we had to add explicit syntactic support for such values without having to resort to full expressions.

Interpolated f-strings, on the other hand, are not literal values, despite their appearance and can therefore not be used as literal patterns (string concatenation, however, is supported).

Literal patterns not only occur as patterns in their own right, but also as keys in mapping patterns.",Literal Patterns,Use of Equality Operator for Literal Patterns,Design Decision
